# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Standard Edition
# File: /home/mc2/DT/DE_10_lite_CD/Demonstrations/Golden_Top/DE10_LITE_Golden_Top.csv
# Generated on: Fri Jul 12 16:25:49 2019
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.
#
# Modified 13/7/2019 Hans Gelke added non vector pin syntax
#
To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX0[7],Unknown,PIN_D15,7,B7_N0,3.3-V LVTTL,,,,,
HEX1[0],Unknown,PIN_C18,7,B7_N0,3.3-V LVTTL,,,,,
HEX1[1],Unknown,PIN_D18,6,B6_N0,3.3-V LVTTL,,,,,
HEX1[2],Unknown,PIN_E18,6,B6_N0,3.3-V LVTTL,,,,,
HEX1[3],Unknown,PIN_B16,7,B7_N0,3.3-V LVTTL,,,,,
HEX1[4],Unknown,PIN_A17,7,B7_N0,3.3-V LVTTL,,,,,
HEX1[5],Unknown,PIN_A18,7,B7_N0,3.3-V LVTTL,,,,,
HEX1[6],Unknown,PIN_B17,7,B7_N0,3.3-V LVTTL,,,,,
HEX1[7],Unknown,PIN_A16,7,B7_N0,3.3-V LVTTL,,,,,
HEX2[0],Unknown,PIN_B20,6,B6_N0,3.3-V LVTTL,,,,,
HEX2[1],Unknown,PIN_A20,7,B7_N0,3.3-V LVTTL,,,,,
HEX2[2],Unknown,PIN_B19,7,B7_N0,3.3-V LVTTL,,,,,
HEX2[3],Unknown,PIN_A21,6,B6_N0,3.3-V LVTTL,,,,,
HEX2[4],Unknown,PIN_B21,6,B6_N0,3.3-V LVTTL,,,,,
HEX2[5],Unknown,PIN_C22,6,B6_N0,3.3-V LVTTL,,,,,
HEX2[6],Unknown,PIN_B22,6,B6_N0,3.3-V LVTTL,,,,,
HEX2[7],Unknown,PIN_A19,7,B7_N0,3.3-V LVTTL,,,,,
HEX3[0],Unknown,PIN_F21,6,B6_N0,3.3-V LVTTL,,,,,
HEX3[1],Unknown,PIN_E22,6,B6_N0,3.3-V LVTTL,,,,,
HEX3[2],Unknown,PIN_E21,6,B6_N0,3.3-V LVTTL,,,,,
HEX3[3],Unknown,PIN_C19,7,B7_N0,3.3-V LVTTL,,,,,
HEX3[4],Unknown,PIN_C20,6,B6_N0,3.3-V LVTTL,,,,,
HEX3[5],Unknown,PIN_D19,6,B6_N0,3.3-V LVTTL,,,,,
HEX3[6],Unknown,PIN_E17,6,B6_N0,3.3-V LVTTL,,,,,
HEX3[7],Unknown,PIN_D22,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[0],Unknown,PIN_F18,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[1],Unknown,PIN_E20,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[2],Unknown,PIN_E19,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[3],Unknown,PIN_J18,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[4],Unknown,PIN_H19,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[5],Unknown,PIN_F19,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[6],Unknown,PIN_F20,6,B6_N0,3.3-V LVTTL,,,,,
HEX4[7],Unknown,PIN_F17,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[0],Unknown,PIN_J20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[1],Unknown,PIN_K20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[2],Unknown,PIN_L18,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[3],Unknown,PIN_N18,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[4],Unknown,PIN_M20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[5],Unknown,PIN_N19,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[6],Unknown,PIN_N20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5[7],Unknown,PIN_L19,6,B6_N0,3.3-V LVTTL,,,,,
KEY[0],Unknown,PIN_B8,7,B7_N0,3.3 V Schmitt Trigger,,,,,
KEY[1],Unknown,PIN_A7,7,B7_N0,3.3 V Schmitt Trigger,,,,,
LEDR[0],Unknown,PIN_A8,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[1],Unknown,PIN_A9,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[2],Unknown,PIN_A10,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[3],Unknown,PIN_B10,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[4],Unknown,PIN_D13,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[5],Unknown,PIN_C13,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[6],Unknown,PIN_E14,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[7],Unknown,PIN_D14,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[8],Unknown,PIN_A11,7,B7_N0,3.3-V LVTTL,,,,,
LEDR[9],Unknown,PIN_B11,7,B7_N0,3.3-V LVTTL,,,,,
SW[0],Unknown,PIN_C10,7,B7_N0,3.3-V LVTTL,,,,,
SW[1],Unknown,PIN_C11,7,B7_N0,3.3-V LVTTL,,,,,
SW[2],Unknown,PIN_D12,7,B7_N0,3.3-V LVTTL,,,,,
SW[3],Unknown,PIN_C12,7,B7_N0,3.3-V LVTTL,,,,,
SW[4],Unknown,PIN_A12,7,B7_N0,3.3-V LVTTL,,,,,
SW[5],Unknown,PIN_B12,7,B7_N0,3.3-V LVTTL,,,,,
SW[6],Unknown,PIN_A13,7,B7_N0,3.3-V LVTTL,,,,,
SW[7],Unknown,PIN_A14,7,B7_N0,3.3-V LVTTL,,,,,
SW[8],Unknown,PIN_B14,7,B7_N0,3.3-V LVTTL,,,,,
SW[9],Unknown,PIN_F15,7,B7_N0,3.3-V LVTTL,,,,,
VGA_B[0],Unknown,PIN_P1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_B[1],Unknown,PIN_T1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_B[2],Unknown,PIN_P4,2,B2_N0,3.3-V LVTTL,,,,,
VGA_B[3],Unknown,PIN_N2,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G[0],Unknown,PIN_W1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G[1],Unknown,PIN_T2,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G[2],Unknown,PIN_R2,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G[3],Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_HS,Unknown,PIN_N3,2,B2_N0,3.3-V LVTTL,,,,,
VGA_R[0],Unknown,PIN_AA1,3,B3_N0,3.3-V LVTTL,,,,,
VGA_R[1],Unknown,PIN_V1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_R[2],Unknown,PIN_Y2,3,B3_N0,3.3-V LVTTL,,,,,
VGA_R[3],Unknown,PIN_Y1,3,B3_N0,3.3-V LVTTL,,,,,
VGA_VS,Unknown,PIN_N1,2,B2_N0,3.3-V LVTTL,,,,,
GSENSOR_CS_N,Unknown,PIN_AB16,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_INT[1],Unknown,PIN_Y14,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_INT[2],Unknown,PIN_Y13,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_SCLK,Unknown,PIN_AB15,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_SDI,Unknown,PIN_V11,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_SDO,Unknown,PIN_V12,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[0],Unknown,PIN_AB5,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[1],Unknown,PIN_AB6,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[2],Unknown,PIN_AB7,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[3],Unknown,PIN_AB8,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[4],Unknown,PIN_AB9,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[5],Unknown,PIN_Y10,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[6],Unknown,PIN_AA11,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[7],Unknown,PIN_AA12,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[8],Unknown,PIN_AB17,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[9],Unknown,PIN_AA17,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[10],Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[11],Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[12],Unknown,PIN_Y19,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[13],Unknown,PIN_AB20,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[14],Unknown,PIN_AB21,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO[15],Unknown,PIN_AA20,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_RESET_N,Unknown,PIN_F16,7,B7_N0,3.3 V Schmitt Trigger,,,,,
GPIO[0],Unknown,PIN_V10,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[1],Unknown,PIN_W10,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[2],Unknown,PIN_V9,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[3],Unknown,PIN_W9,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[4],Unknown,PIN_V8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[5],Unknown,PIN_W8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[6],Unknown,PIN_V7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[7],Unknown,PIN_W7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[8],Unknown,PIN_W6,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[9],Unknown,PIN_V5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[10],Unknown,PIN_W5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[11],Unknown,PIN_AA15,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[12],Unknown,PIN_AA14,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[13],Unknown,PIN_W13,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[14],Unknown,PIN_W12,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[15],Unknown,PIN_AB13,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[16],Unknown,PIN_AB12,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[17],Unknown,PIN_Y11,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[18],Unknown,PIN_AB11,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[19],Unknown,PIN_W11,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[20],Unknown,PIN_AB10,4,B4_N0,3.3-V LVTTL,,,,,
GPIO[21],Unknown,PIN_AA10,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[22],Unknown,PIN_AA9,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[23],Unknown,PIN_Y8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[24],Unknown,PIN_AA8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[25],Unknown,PIN_Y7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[26],Unknown,PIN_AA7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[27],Unknown,PIN_Y6,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[28],Unknown,PIN_AA6,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[29],Unknown,PIN_Y5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[30],Unknown,PIN_AA5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[31],Unknown,PIN_Y4,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[32],Unknown,PIN_AB3,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[33],Unknown,PIN_Y3,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[34],Unknown,PIN_AB2,3,B3_N0,3.3-V LVTTL,,,,,
GPIO[35],Unknown,PIN_AA2,3,B3_N0,3.3-V LVTTL,,,,,
#Second Syntax supporting non Bus connections
# HG 14/7/2019
ADC_CLK_10,Unknown,PIN_N5,2,B2_N0,3.3-V LVTTL,,,,,
CLOCK_50,Unknown,PIN_P11,3,B3_N0,3.3-V LVTTL,,,,,
MAX10_CLK1_50,Unknown,PIN_P11,3,B3_N0,3.3-V LVTTL,,,,,
MAX10_CLK2_50,Unknown,PIN_N14,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_0,Unknown,PIN_U17,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_1,Unknown,PIN_W19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_2,Unknown,PIN_V18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_3,Unknown,PIN_U18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_4,Unknown,PIN_U19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_5,Unknown,PIN_T18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_6,Unknown,PIN_T19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_7,Unknown,PIN_R18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_8,Unknown,PIN_P18,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_9,Unknown,PIN_P19,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_10,Unknown,PIN_T20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_11,Unknown,PIN_P20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_ADDR_12,Unknown,PIN_R20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_BA_0,Unknown,PIN_T21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_BA_1,Unknown,PIN_T22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_CAS_N,Unknown,PIN_U21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_CKE,Unknown,PIN_N22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_CLK,Unknown,PIN_L14,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_CS_N,Unknown,PIN_U20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_0,Unknown,PIN_Y21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_1,Unknown,PIN_Y20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_2,Unknown,PIN_AA22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_3,Unknown,PIN_AA21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_4,Unknown,PIN_Y22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_5,Unknown,PIN_W22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_6,Unknown,PIN_W20,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_7,Unknown,PIN_V21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_8,Unknown,PIN_P21,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_DQ_9,Unknown,PIN_J22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ_10,Unknown,PIN_H21,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ_11,Unknown,PIN_H22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ_12,Unknown,PIN_G22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ_13,Unknown,PIN_G20,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ_14,Unknown,PIN_G19,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_DQ_15,Unknown,PIN_F22,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_LDQM,Unknown,PIN_V22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_RAS_N,Unknown,PIN_U22,5,B5_N0,3.3-V LVTTL,,,,,
DRAM_UDQM,Unknown,PIN_J21,6,B6_N0,3.3-V LVTTL,,,,,
DRAM_WE_N,Unknown,PIN_V20,5,B5_N0,3.3-V LVTTL,,,,,
HEX0_0,Unknown,PIN_C14,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_1,Unknown,PIN_E15,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_2,Unknown,PIN_C15,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_3,Unknown,PIN_C16,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_4,Unknown,PIN_E16,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_5,Unknown,PIN_D17,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_6,Unknown,PIN_C17,7,B7_N0,3.3-V LVTTL,,,,,
HEX0_7,Unknown,PIN_D15,7,B7_N0,3.3-V LVTTL,,,,,
HEX1_0,Unknown,PIN_C18,7,B7_N0,3.3-V LVTTL,,,,,
HEX1_1,Unknown,PIN_D18,6,B6_N0,3.3-V LVTTL,,,,,
HEX1_2,Unknown,PIN_E18,6,B6_N0,3.3-V LVTTL,,,,,
HEX1_3,Unknown,PIN_B16,7,B7_N0,3.3-V LVTTL,,,,,
HEX1_4,Unknown,PIN_A17,7,B7_N0,3.3-V LVTTL,,,,,
HEX1_5,Unknown,PIN_A18,7,B7_N0,3.3-V LVTTL,,,,,
HEX1_6,Unknown,PIN_B17,7,B7_N0,3.3-V LVTTL,,,,,
HEX1_7,Unknown,PIN_A16,7,B7_N0,3.3-V LVTTL,,,,,
HEX2_0,Unknown,PIN_B20,6,B6_N0,3.3-V LVTTL,,,,,
HEX2_1,Unknown,PIN_A20,7,B7_N0,3.3-V LVTTL,,,,,
HEX2_2,Unknown,PIN_B19,7,B7_N0,3.3-V LVTTL,,,,,
HEX2_3,Unknown,PIN_A21,6,B6_N0,3.3-V LVTTL,,,,,
HEX2_4,Unknown,PIN_B21,6,B6_N0,3.3-V LVTTL,,,,,
HEX2_5,Unknown,PIN_C22,6,B6_N0,3.3-V LVTTL,,,,,
HEX2_6,Unknown,PIN_B22,6,B6_N0,3.3-V LVTTL,,,,,
HEX2_7,Unknown,PIN_A19,7,B7_N0,3.3-V LVTTL,,,,,
HEX3_0,Unknown,PIN_F21,6,B6_N0,3.3-V LVTTL,,,,,
HEX3_1,Unknown,PIN_E22,6,B6_N0,3.3-V LVTTL,,,,,
HEX3_2,Unknown,PIN_E21,6,B6_N0,3.3-V LVTTL,,,,,
HEX3_3,Unknown,PIN_C19,7,B7_N0,3.3-V LVTTL,,,,,
HEX3_4,Unknown,PIN_C20,6,B6_N0,3.3-V LVTTL,,,,,
HEX3_5,Unknown,PIN_D19,6,B6_N0,3.3-V LVTTL,,,,,
HEX3_6,Unknown,PIN_E17,6,B6_N0,3.3-V LVTTL,,,,,
HEX3_7,Unknown,PIN_D22,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_0,Unknown,PIN_F18,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_1,Unknown,PIN_E20,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_2,Unknown,PIN_E19,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_3,Unknown,PIN_J18,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_4,Unknown,PIN_H19,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_5,Unknown,PIN_F19,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_6,Unknown,PIN_F20,6,B6_N0,3.3-V LVTTL,,,,,
HEX4_7,Unknown,PIN_F17,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_0,Unknown,PIN_J20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_1,Unknown,PIN_K20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_2,Unknown,PIN_L18,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_3,Unknown,PIN_N18,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_4,Unknown,PIN_M20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_5,Unknown,PIN_N19,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_6,Unknown,PIN_N20,6,B6_N0,3.3-V LVTTL,,,,,
HEX5_7,Unknown,PIN_L19,6,B6_N0,3.3-V LVTTL,,,,,
KEY_0,Unknown,PIN_B8,7,B7_N0,3.3 V Schmitt Trigger,,,,,
KEY_1,Unknown,PIN_A7,7,B7_N0,3.3 V Schmitt Trigger,,,,,
LEDR_0,Unknown,PIN_A8,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_1,Unknown,PIN_A9,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_2,Unknown,PIN_A10,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_3,Unknown,PIN_B10,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_4,Unknown,PIN_D13,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_5,Unknown,PIN_C13,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_6,Unknown,PIN_E14,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_7,Unknown,PIN_D14,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_8,Unknown,PIN_A11,7,B7_N0,3.3-V LVTTL,,,,,
LEDR_9,Unknown,PIN_B11,7,B7_N0,3.3-V LVTTL,,,,,
